date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:35:51	149965/149965	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Aug%202024%2006:35:52%20GMT	https://yorkstreetspa.com/salon/textured-services/	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/salon/textured-services/index.html	(from https://yorkstreetspa.com/)
14:35:52	15347/15347	---M-Z	200	added ('OK')	application/x-javascript	etag:%223bf3-669fd588-a58a35ee1fd29739;gz%22	https://yorkstreetspa.com/wp-content/plugins/elementor/assets/lib/e-gallery/js/e-gallery.min.js?ver=1.2.0	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/wp-content/plugins/elementor/assets/lib/e-gallery/js/e-gallery.min7359.js	(from https://yorkstreetspa.com/)
14:35:52	172111/172111	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Aug%202024%2006:35:53%20GMT	https://yorkstreetspa.com/salon/protective-styles/	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/salon/protective-styles/index.html	(from https://yorkstreetspa.com/)
14:35:52	151961/151961	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Aug%202024%2006:35:53%20GMT	https://yorkstreetspa.com/salon/hair-extensions/	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/salon/hair-extensions/index.html	(from https://yorkstreetspa.com/)
14:35:52	173973/173973	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Aug%202024%2006:35:53%20GMT	https://yorkstreetspa.com/facials/aveda-facial/	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/facials/aveda-facial/index.html	(from https://yorkstreetspa.com/)
14:35:53	25202/25202	---M-Z	200	added ('OK')	application/x-javascript	etag:%226272-658c0764-7255bff0b57e7cbd;gz%22	https://yorkstreetspa.com/wp-content/plugins/elementor-pro/assets/lib/smartmenus/jquery.smartmenus.min.js?ver=1.0.1	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/wp-content/plugins/elementor-pro/assets/lib/smartmenus/jquery.smartmenus.minf269.js	(from https://yorkstreetspa.com/)
14:35:53	158892/158892	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Aug%202024%2006:35:54%20GMT	https://yorkstreetspa.com/body/	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/body/index.html	(from https://yorkstreetspa.com/)
14:35:54	161167/161167	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Aug%202024%2006:35:55%20GMT	https://yorkstreetspa.com/sauna/	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/sauna/index.html	(from https://yorkstreetspa.com/)
14:35:54	172331/172331	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Aug%202024%2006:35:55%20GMT	https://yorkstreetspa.com/waxing/	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/waxing/index.html	(from https://yorkstreetspa.com/)
14:35:55	5825/5825	---M-Z	200	added ('OK')	application/x-javascript	etag:%2216c1-658c0762-149c3d3246812db9;gz%22	https://yorkstreetspa.com/wp-content/plugins/elementor-pro/assets/js/webpack-pro.runtime.min.js?ver=3.18.2	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/wp-content/plugins/elementor-pro/assets/js/webpack-pro.runtime.minaad7.js	(from https://yorkstreetspa.com/)
14:35:55	204222/204222	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Aug%202024%2006:35:56%20GMT	https://yorkstreetspa.com/manicure/	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/manicure/index.html	(from https://yorkstreetspa.com/)
14:35:55	182064/182064	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Aug%202024%2006:35:56%20GMT	https://yorkstreetspa.com/pedicure/	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/pedicure/index.html	(from https://yorkstreetspa.com/)
14:35:56	156252/156252	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Aug%202024%2006:35:57%20GMT	https://yorkstreetspa.com/lash-extension/	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/lash-extension/index.html	(from https://yorkstreetspa.com/)
14:35:56	4997/4997	---M-Z	200	added ('OK')	application/x-javascript	etag:%221385-669fd588-caf27d865928c6c0;gz%22	https://yorkstreetspa.com/wp-content/plugins/elementor/assets/js/webpack.runtime.min.js?ver=3.23.2	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/wp-content/plugins/elementor/assets/js/webpack.runtime.min5f06.js	(from https://yorkstreetspa.com/)
14:35:56	168777/168777	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Aug%202024%2006:35:57%20GMT	https://yorkstreetspa.com/lifting-tinting/	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/lifting-tinting/index.html	(from https://yorkstreetspa.com/)
14:35:57	151359/151359	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Aug%202024%2006:35:58%20GMT	https://yorkstreetspa.com/makeup/	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/makeup/index.html	(from https://yorkstreetspa.com/)
14:35:57	158476/158476	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Aug%202024%2006:35:58%20GMT	https://yorkstreetspa.com/microblading/	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/microblading/index.html	(from https://yorkstreetspa.com/)
14:35:59	73568/73568	---M-Z	200	added ('OK')	application/x-javascript	etag:%2211f60-669fd588-91e5c071b0807d4;gz%22	https://yorkstreetspa.com/wp-content/plugins/elementor/assets/js/frontend-modules.min.js?ver=3.23.2	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/wp-content/plugins/elementor/assets/js/frontend-modules.min5f06.js	(from https://yorkstreetspa.com/)
14:35:59	158217/158217	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Aug%202024%2006:35:59%20GMT	https://yorkstreetspa.com/microneedling/	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/microneedling/index.html	(from https://yorkstreetspa.com/)
14:35:59	163202/163202	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Aug%202024%2006:35:59%20GMT	https://yorkstreetspa.com/cosmetic-injectables/	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/cosmetic-injectables/index.html	(from https://yorkstreetspa.com/)
14:35:59	154284/154284	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Aug%202024%2006:36:00%20GMT	https://yorkstreetspa.com/cosmetic-injectables/botox-2/	C:/My%20Web%20Sites/yorkstreetspa.com/yorkstreetspa.com/cosmetic-injectables/botox-2/index.html	(from https://yorkstreetspa.com/)
